,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00
2023-07-01,土,0.0,0.0,17280,13800,17920.0,0.0,24230.0,15960.0,16560,14680,26350,19470,20330.0,10060.0,0.0
2023-07-02,日,0.0,1480.0,10560,33670,11400.0,0.0,0.0,3580.0,13230,33550,38030,24980,0.0,0.0,0.0
2023-07-05,水,0.0,0.0,12210,9720,0.0,0.0,0.0,0.0,1360,6810,10740,6760,1620.0,0.0,0.0
2023-07-06,木,0.0,900.0,12280,7200,3920.0,390.0,0.0,0.0,10800,11440,8520,19360,29700.0,5810.0,0.0
2023-07-07,金,0.0,0.0,48020,2110,980.0,0.0,0.0,0.0,1980,9900,17250,29340,10020.0,7370.0,0.0
2023-07-08,土,0.0,0.0,13630,7480,6690.0,0.0,900.0,190.0,19730,14910,15660,27210,13950.0,4710.0,0.0
2023-07-09,日,0.0,6070.0,18710,16620,16850.0,0.0,0.0,1100.0,5150,11780,12830,13180,0.0,0.0,0.0
2023-07-12,水,0.0,0.0,13910,7120,4710.0,0.0,0.0,0.0,9190,3980,6110,7060,12420.0,8290.0,0.0
2023-07-13,木,0.0,0.0,17500,9630,14560.0,0.0,0.0,0.0,4210,13750,8390,12040,10350.0,0.0,0.0
2023-07-14,金,0.0,1430.0,7950,11110,6650.0,0.0,0.0,0.0,6620,9840,25370,12300,23090.0,3650.0,0.0
2023-07-15,土,0.0,1230.0,6360,11120,13210.0,0.0,0.0,0.0,17380,23610,32660,10880,21790.0,28980.0,0.0
2023-07-16,日,0.0,2160.0,11410,36470,21250.0,12120.0,0.0,0.0,19100,11580,25730,5720,0.0,0.0,0.0
2023-07-19,水,0.0,2560.0,7100,11010,3860.0,0.0,0.0,0.0,9010,24130,11050,4200,18210.0,22040.0,0.0
2023-07-20,木,0.0,0.0,12110,12030,0.0,0.0,200.0,0.0,1380,5020,10350,6180,10340.0,25350.0,0.0
2023-07-21,金,0.0,0.0,11590,9020,8900.0,0.0,0.0,0.0,990,27830,22820,8200,21060.0,19060.0,0.0
2023-07-22,土,0.0,450.0,9260,10120,1630.0,0.0,0.0,0.0,14560,16380,23760,7390,25220.0,0.0,0.0
2023-07-23,日,0.0,0.0,27860,17850,9630.0,4350.0,0.0,0.0,13030,9830,16970,21140,0.0,0.0,0.0
2023-07-26,水,800.0,0.0,13590,6150,8550.0,0.0,0.0,1090.0,7080,9690,11950,14190,58660.0,6630.0,0.0
2023-07-27,木,0.0,1200.0,15020,14280,2360.0,0.0,0.0,1140.0,6360,11400,8020,12520,3660.0,0.0,0.0
2023-07-28,金,0.0,3260.0,12560,16910,2780.0,0.0,0.0,0.0,1690,10660,31770,50780,28790.0,9530.0,0.0
2023-07-29,土,0.0,0.0,19220,6460,5420.0,0.0,0.0,0.0,12660,5060,35070,25460,16930.0,1700.0,0.0
2023-07-30,日,0.0,0.0,13270,18470,5590.0,0.0,6880.0,0.0,11640,26750,26380,20890,5950.0,0.0,0.0
