,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00
2023-02-01,水,0.0,930.0,20090,10050,8920.0,0.0,0.0,990.0,0,17700,35470,43440,10550.0,3490.0,0.0
2023-02-02,木,0.0,6040.0,14900,8380,2230.0,0.0,0.0,0.0,11890,2690,16600,12660,22910.0,1490.0,0.0
2023-02-03,金,0.0,980.0,14300,19280,6920.0,980.0,0.0,0.0,6880,18750,5640,8980,39440.0,7450.0,0.0
2023-02-04,土,0.0,0.0,25290,31440,16250.0,2340.0,0.0,0.0,2500,16520,11680,17980,3870.0,18530.0,0.0
2023-02-05,日,0.0,4650.0,12840,14980,22390.0,0.0,0.0,4290.0,13460,23180,1890,24830,13080.0,0.0,0.0
2023-02-08,水,0.0,3320.0,4040,12630,1210.0,0.0,0.0,0.0,3910,10300,20810,2240,14630.0,15860.0,0.0
2023-02-09,木,0.0,1340.0,17520,6870,12570.0,0.0,0.0,0.0,6380,23180,15610,9490,6910.0,4510.0,0.0
2023-02-10,金,0.0,4120.0,12980,5530,3720.0,0.0,0.0,0.0,8390,5760,19820,15410,13980.0,0.0,0.0
2023-02-11,土,0.0,5080.0,18690,24710,35040.0,2150.0,0.0,560.0,10190,18960,39980,19010,6850.0,0.0,0.0
2023-02-12,日,0.0,0.0,39720,15670,22710.0,3590.0,0.0,2510.0,11100,36020,19910,8150,0.0,0.0,0.0
2023-02-15,水,0.0,2970.0,22950,10210,9060.0,0.0,0.0,0.0,4250,5880,21260,16440,13620.0,8060.0,0.0
2023-02-16,木,0.0,2130.0,16000,13150,1360.0,0.0,0.0,0.0,13420,21430,14730,5810,8220.0,0.0,0.0
2023-02-17,金,0.0,0.0,29010,20360,5980.0,0.0,0.0,0.0,15620,24010,11550,3150,16710.0,990.0,0.0
2023-02-18,土,0.0,2220.0,28840,38160,48610.0,900.0,3100.0,1680.0,14760,37370,37270,6910,35660.0,2530.0,0.0
2023-02-19,日,0.0,0.0,22240,20190,7350.0,0.0,0.0,0.0,4540,15200,9360,9680,0.0,0.0,0.0
2023-02-22,水,0.0,3320.0,18330,10440,10130.0,0.0,0.0,0.0,2750,11310,8000,33420,18700.0,11870.0,0.0
2023-02-23,木,0.0,1140.0,20470,13440,30620.0,0.0,0.0,0.0,6020,21360,26320,26410,0.0,0.0,0.0
2023-02-24,金,0.0,0.0,9780,16210,0.0,0.0,0.0,0.0,2190,31020,16200,26950,2600.0,6740.0,0.0
2023-02-25,土,0.0,0.0,23790,35760,11700.0,0.0,0.0,0.0,5060,45750,21870,25950,9710.0,44660.0,0.0
2023-02-26,日,0.0,1700.0,15170,39050,25270.0,0.0,0.0,1400.0,28060,19380,36540,5880,3400.0,0.0,0.0
