,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00
2023-08-02,水,800.0,0.0,6490,5610,0.0,0.0,0.0,0.0,4750.0,10060,16250,29360.0,9560.0,8380.0,0.0
2023-08-03,木,0.0,0.0,10590,3730,10460.0,0.0,0.0,0.0,0.0,14560,6190,990.0,5200.0,0.0,0.0
2023-08-04,金,0.0,0.0,4810,22030,2640.0,0.0,0.0,0.0,2470.0,7290,22490,15810.0,33580.0,10400.0,0.0
2023-08-05,土,0.0,4190.0,17370,5240,14080.0,0.0,300.0,0.0,10310.0,25010,11310,39150.0,29130.0,1300.0,0.0
2023-08-06,日,0.0,0.0,25480,35100,6960.0,4220.0,0.0,2000.0,11200.0,9050,16330,8010.0,2130.0,0.0,0.0
2023-08-09,水,0.0,6330.0,13320,5890,6100.0,0.0,0.0,0.0,6830.0,15210,21220,22420.0,14000.0,0.0,0.0
2023-08-10,木,0.0,1630.0,7610,14410,6240.0,0.0,0.0,0.0,2310.0,12870,12450,5880.0,22110.0,8630.0,0.0
2023-08-11,金,0.0,0.0,20690,15880,9180.0,0.0,0.0,0.0,10390.0,7560,24210,49220.0,3060.0,0.0,0.0
2023-08-12,土,0.0,0.0,8820,17870,10750.0,6290.0,0.0,1260.0,3490.0,6000,9380,4550.0,2180.0,0.0,0.0
2023-08-13,日,0.0,0.0,10180,29830,9320.0,4130.0,3160.0,2340.0,6840.0,12940,18810,33940.0,0.0,0.0,0.0
2023-08-16,水,0.0,1370.0,13250,25190,2480.0,0.0,0.0,0.0,11160.0,3700,26770,17380.0,4580.0,4980.0,0.0
2023-08-17,木,0.0,1760.0,15750,16360,16050.0,0.0,0.0,0.0,1100.0,26470,6530,11040.0,3750.0,9850.0,0.0
2023-08-18,金,0.0,0.0,4620,7810,0.0,0.0,5150.0,0.0,13810.0,9050,15910,4760.0,9550.0,0.0,0.0
2023-08-19,土,0.0,1210.0,13320,13500,2230.0,0.0,0.0,0.0,14270.0,10880,21220,22820.0,20720.0,12730.0,0.0
2023-08-20,日,0.0,1400.0,3630,18260,9430.0,2480.0,1050.0,4040.0,7810.0,9900,15360,28610.0,0.0,0.0,0.0
2023-08-23,水,0.0,0.0,10910,11370,10970.0,1400.0,0.0,0.0,24610.0,12900,30580,18020.0,23450.0,1380.0,0.0
2023-08-24,木,0.0,0.0,6100,25070,0.0,0.0,0.0,0.0,6290.0,17110,12590,13610.0,23630.0,0.0,0.0
2023-08-25,金,0.0,0.0,12930,12830,4020.0,0.0,0.0,0.0,4440.0,29730,25180,23490.0,17720.0,0.0,0.0
2023-08-26,土,0.0,0.0,8450,13820,6660.0,0.0,5720.0,0.0,11880.0,45660,26160,0.0,31850.0,500.0,0.0
2023-08-27,日,0.0,2400.0,10860,8110,0.0,0.0,0.0,5910.0,9020.0,17120,15550,24660.0,0.0,0.0,0.0
2023-08-30,水,0.0,2260.0,11460,16940,6860.0,0.0,0.0,0.0,9240.0,14540,21450,24170.0,4980.0,0.0,0.0
2023-08-31,木,0.0,1380.0,1580,15570,5800.0,0.0,0.0,0.0,8890.0,23160,11670,11240.0,8080.0,12400.0,0.0
