,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00
2023-01-06,金,0.0,4560.0,23300,23580,5510,0.0,0.0,0.0,9140,11240,20800,27210,1050.0,0.0,0.0
2023-01-07,土,0.0,0.0,31440,23910,25920,0.0,0.0,0.0,11510,34430,11180,19660,6420.0,12750.0,0.0
2023-01-08,日,0.0,3230.0,16100,39670,25000,20510.0,0.0,2130.0,7460,25170,44390,43760,0.0,0.0,0.0
2023-01-11,水,0.0,930.0,23400,17470,1330,0.0,0.0,0.0,4770,10140,12830,24200,9270.0,10210.0,0.0
2023-01-12,木,0.0,2590.0,7440,24450,9230,0.0,0.0,0.0,13250,9150,22040,6880,14560.0,0.0,0.0
2023-01-13,金,0.0,2560.0,15500,17620,4620,0.0,0.0,2050.0,2640,11000,29800,42430,10540.0,0.0,0.0
2023-01-14,土,0.0,2140.0,14070,23970,15710,7060.0,0.0,0.0,9550,23150,5520,12670,11370.0,22490.0,0.0
2023-01-15,日,0.0,2300.0,15570,15660,28190,0.0,0.0,1890.0,8530,16020,14050,10810,6220.0,0.0,0.0
2023-01-18,水,0.0,1560.0,9940,17740,2840,0.0,0.0,990.0,980,22810,32250,8920,20290.0,1170.0,0.0
2023-01-19,木,0.0,3850.0,20270,9510,11530,1200.0,0.0,0.0,990,4920,13390,9690,9100.0,12370.0,0.0
2023-01-20,金,0.0,0.0,15200,16550,6020,0.0,0.0,0.0,11030,8460,29510,35670,55000.0,5800.0,0.0
2023-01-21,土,0.0,2660.0,6500,25750,24310,0.0,0.0,180.0,5020,22810,29150,22340,13080.0,6080.0,0.0
2023-01-22,日,0.0,990.0,22930,30850,43370,0.0,0.0,0.0,4830,14790,18210,13570,0.0,0.0,0.0
2023-01-25,水,0.0,0.0,25700,15590,8670,0.0,0.0,1250.0,3850,5320,6630,15630,12710.0,19080.0,0.0
2023-01-26,木,0.0,0.0,13650,8410,4910,0.0,0.0,0.0,6390,10620,10610,18080,19540.0,7600.0,0.0
2023-01-27,金,0.0,0.0,18180,19000,1480,0.0,0.0,0.0,5790,14070,22210,36260,6970.0,11610.0,0.0
2023-01-28,土,0.0,0.0,25020,17670,8870,1990.0,0.0,0.0,3490,22520,23490,19020,1100.0,5550.0,0.0
2023-01-29,日,0.0,3890.0,28580,44080,28260,0.0,0.0,0.0,23310,14860,13100,2600,4000.0,0.0,0.0
